station_id,station_name,lng,lat
144583,云海路翠菊路口,115.855791,28.624515
141350,云溪公交停车场,115.781118,28.664923
141351,云溪公租房,115.779428,28.666804
141352,云溪花园三区,115.775786,28.667397
108462,云锦路口,115.860701040325,28.6385358675972
104052,云锦路桃花南路口,115.870845,28.628902
106509,云锦路永富路口,115.851242,28.63729
116889,云锦路站,115.859558,28.637172
143244,云锦路红梅路口,115.867049,28.630766
143243,云锦路翠菊路口,115.86027,28.634479
106508,云锦路银环路口,115.85521,28.637307
116884,云飞路东口,115.866898,28.624619
106512,云飞路口,115.85466,28.629958
103760,云飞路永富路口,115.850961,28.631739
108465,云飞路西口,115.846589350751,28.6338473414756
112427,五一路口,115.936117,28.546467
110803,五一路市场南路口,115.9394,28.545882
140234,五丰村村委会,116.15396,28.811111
145300,五十亩,115.962168,28.461894
108981,五星农场,116.258603,28.778827
108979,五星分道口,116.216757,28.787861
108980,五星敬老院,116.25359,28.780196
108978,五星牌楼,116.187907,28.787957
108974,五爱村,116.143109,28.777534
121834,五纬路,115.893444,28.695572
140330,五纬路王家庄路口,115.895435,28.696301
124293,五里中学,116.270477,28.396806
133566,井冈山大道三店西路口,115.911483,28.6336
145275,井冈山大道三店西路口（BRT),115.91054,28.636031
139343,井冈山综合市场,115.73755,28.709953
131134,井岗,116.364695,28.608984
131948,交大附中,115.862626,28.746754
118288,交警大队,116.249133,28.37176
140042,交警红谷滩大队,115.835581,28.683498
138882,交警莲塘中队,115.924935,28.544619
118549,交警青云谱大队,115.912495,28.642059
131758,交通局,116.25487,28.363553
137227,产业一路宁远大街口,115.719996,28.629695
107151,产业路望北大道口,115.732217,28.640834
107152,产业路永强路口,115.728397,28.638301
137226,产业路璜溪大道口,115.725972,28.636551
121582,产业路科发路口,115.72214321038,28.6348962739352
133582,亨利邓家自然村,116.20177,28.590049
104571,京东公交停车场,115.969062,28.675349
129625,京东南大道秦胜二路口北,115.96079,28.65165
109309,京东南大道解放东路口,115.959936538493,28.6483909062196
109310,京东大道口,115.963388037399,28.671528336945
140537,京东大道火炬三路口,115.968128,28.702914
102645,京东大道火炬四路口,115.968075,28.708388
102643,京东大道艾溪湖北路口,115.967994,28.711917
121904,京东大道金圣路口,115.967003,28.688713
104569,京东安居小区,115.955499,28.672133
136028,京东安居小区南门,115.957097,28.671202
123520,京东安居小区（南门),115.958518,28.671378
105903,京东消防中队,115.962424,28.664647
106131,京东镇政府,115.962173,28.687158
